Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014381798795243983,0.09787945148720469,0.07839979239749006
OLS,Validation,0.013868879754330583,0.09660901707951118,0.11126816312907006
Ridge(tuned),Validation_CV,0.016398510290380596,0.10015298443293569,
RF(tuned),Validation_CV,0.01647574649300191,0.09627607482032227,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05712088087003815,0.17552496443422821,-0.12290136097231175
OLS,Test(final),0.06743844972727232,0.20632550505386105,-0.32572757680174624
Ridge(tuned),Test(final),0.06360927391085634,0.19645017773238463,-0.25045235922520614
RF(tuned),Test(final),0.061237348848737286,0.1879739704032094,-0.20382426386306163
