Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014381798795243983,0.09787945148720469,0.07839979239749006
OLS,Validation,0.01440655915315032,0.0970057299220657,0.0768131236287447
Ridge(tuned),Validation_CV,0.016481111602424416,0.10002815092561113,
RF(tuned),Validation_CV,0.016936886014651688,0.09535621940242363,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05712088087003815,0.17552496443422821,-0.12290136097231175
OLS,Test(final),0.06056883592009097,0.18885051789894922,-0.1906824133528695
Ridge(tuned),Test(final),0.059541028821852394,0.18483012490559936,-0.17047743801197845
RF(tuned),Test(final),0.06112290656187455,0.1850754750672951,-0.20157451915125768
