Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.01437620884268697,0.09761043203756053,0.07875800220909823
OLS,Validation,0.015199047714363744,0.10319378544524674,0.02602965537591173
Ridge(tuned),Validation_CV,0.01669317039741358,0.09987081541880795,
RF(tuned),Validation_CV,0.016689914235499575,0.09675764065427504,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.057314583772598,0.17575366252151967,-0.1267092373494918
OLS,Test(final),0.05694627896392464,0.17366308615935092,-0.11946897836516479
Ridge(tuned),Test(final),0.05671629938124576,0.17453708046322539,-0.11494796288969411
RF(tuned),Test(final),0.059471002955370764,0.17864925596195538,-0.16910084613212994
