Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014381798795243983,0.09787945148720469,0.07839979239749006
OLS,Validation,0.013834175542262864,0.09653181591212613,0.11349204412626968
Ridge(tuned),Validation_CV,0.016406291361382587,0.10017151098097192,
RF(tuned),Validation_CV,0.016636283755624474,0.09618741431318914,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05712088087003815,0.17552496443422821,-0.12290136097231175
OLS,Test(final),0.06740792823010516,0.20625917713806463,-0.3251275750128051
Ridge(tuned),Test(final),0.06358458782630295,0.19639208867979568,-0.24996707192711365
RF(tuned),Test(final),0.061456917242901435,0.1895121129421791,-0.20814061271619622
