Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014398491392814985,0.09778490845439214,0.07733011386799016
OLS,Validation,0.014629372842970492,0.09921442390673428,0.06253499710796084
Ridge(tuned),Validation_CV,0.01644119329650675,0.10046226806631764,
RF(tuned),Validation_CV,0.01675953427823569,0.09887079538670365,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05728745637098464,0.17590706038343507,-0.1261759578249586
OLS,Test(final),0.06125122322903711,0.18818740987788643,-0.2040970110666065
Ridge(tuned),Test(final),0.05938437115910839,0.18286749068887842,-0.16739780933639437
RF(tuned),Test(final),0.05693868377924466,0.17430025729751464,-0.11931966968707575
