Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014388159954467482,0.09771205158812794,0.07799216288296029
OLS,Validation,0.014596780669099271,0.09894538670237575,0.06462353656214004
Ridge(tuned),Validation_CV,0.01649934490353492,0.10048570383995434,
RF(tuned),Validation_CV,0.01675953427823569,0.09887079538670365,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05729685571098593,0.17583664008154393,-0.12636073319114582
OLS,Test(final),0.060990779009450116,0.18813069670081237,-0.19897711158016484
Ridge(tuned),Test(final),0.05927136501935588,0.1829111291490934,-0.16517629688431867
RF(tuned),Test(final),0.057232328793259506,0.17487185714529455,-0.12509224148319742
