Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014310808169962053,0.09709640572277753,0.08294894344105042
OLS,Validation,0.014500452441002688,0.09941615457841206,0.07079634681179747
Ridge(tuned),Validation_CV,0.016523928840510075,0.10060382146826494,
RF(tuned),Validation_CV,0.01666634398184357,0.09868032298686602,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05755320841513862,0.17587350792919243,-0.13140020030015154
OLS,Test(final),0.058997984245071404,0.18310215379648614,-0.15980208628336268
Ridge(tuned),Test(final),0.05813011112341809,0.17989055876616977,-0.1427411464902062
RF(tuned),Test(final),0.0585617781393513,0.17731221074381007,-0.15122700091498475
